date,lux1,lux2,lux3,lux4,weather_condition,season,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-01,202,139,462,954,1,1,7,67,35,4,6,2,87,44,81
2024-07-01,535,965,921,750,2,0,94,27,7,97,5,22,23,79,81
2024-07-01,960,139,481,721,1,1,2,17,39,22,55,74,84,67,86
2024-07-01,370,958,332,794,2,1,66,25,85,42,63,73,94,11,39
2024-07-01,206,848,876,639,1,0,85,18,21,88,49,49,57,48,49
2024-07-01,171,388,443,808,2,0,80,54,15,56,29,35,63,32,72
2024-07-01,800,361,648,290,1,0,99,56,90,50,21,12,93,85,28
2024-07-01,120,315,916,414,2,0,16,5,59,12,24,28,55,62,50
2024-07-01,714,246,652,662,1,1,13,0,59,23,27,37,97,17,41
2024-07-01,221,435,628,760,0,0,8,7,9,10,83,76,81,53,28
2024-07-01,566,267,955,879,2,0,61,96,24,51,38,89,11,96,65
2024-07-01,314,191,888,661,1,0,93,50,30,16,66,83,34,26,16
2024-07-01,430,452,918,999,2,0,20,84,20,36,4,4,70,82,30
2024-07-01,558,670,670,857,2,0,75,87,90,12,64,19,88,77,91
2024-07-01,187,670,282,212,1,1,36,24,80,61,14,77,5,24,51
2024-07-01,472,915,140,269,2,1,95,46,32,90,89,13,64,33,38
2024-07-01,199,780,650,567,1,0,10,54,30,83,66,7,79,87,59
2024-07-01,971,880,496,777,0,0,19,63,89,96,39,47,59,59,93
2024-07-01,763,462,803,113,2,1,34,82,20,95,97,12,67,53,98
2024-07-01,230,656,878,814,0,0,52,92,35,7,68,23,28,86,50
2024-07-01,761,444,593,387,2,1,46,9,64,55,94,78,37,4,83
2024-07-01,408,792,758,288,2,1,74,55,3,92,76,64,91,35,15
2024-07-02,869,269,432,254,2,0,51,11,67,82,42,85,21,53,97
2024-07-02,443,455,226,666,1,1,7,32,89,69,0,33,7,87,13
2024-07-02,591,290,657,793,0,0,3,70,3,43,21,50,62,35,89
2024-07-02,513,766,656,821,2,0,26,16,8,59,61,2,95,68,83
2024-07-02,905,521,100,987,1,1,43,60,29,40,78,89,96,38,41
2024-07-02,485,799,267,570,2,1,39,9,44,20,25,77,12,69,50
2024-07-02,291,106,719,174,1,0,46,30,3,85,17,57,26,99,23
2024-07-02,376,232,118,376,2,1,93,59,68,41,47,71,17,3,81
2024-07-02,260,846,431,744,0,0,43,69,22,73,8,54,17,73,42
2024-07-02,559,656,683,442,0,1,47,16,15,73,0,79,76,64,72
2024-07-02,413,925,555,524,2,1,90,49,21,28,8,41,85,84,18
2024-07-02,121,860,208,670,1,0,84,36,71,79,22,20,61,39,83
2024-07-02,352,130,367,610,2,0,51,81,47,64,44,9,13,36,60
2024-07-02,847,634,544,956,1,0,83,61,61,16,1,56,10,66,93
2024-07-02,956,525,339,281,2,1,67,89,96,29,13,24,85,30,62
2024-07-02,660,493,400,557,1,0,10,79,59,25,37,55,99,90,25
2024-07-02,574,771,701,950,0,0,76,71,79,52,39,37,16,80,94
2024-07-02,158,462,202,932,2,1,72,87,4,18,62,85,50,86,34
2024-07-02,610,536,349,163,0,1,3,76,79,52,81,60,95,76,66
2024-07-02,781,769,552,938,0,0,75,28,6,84,15,46,13,46,55
2024-07-02,575,650,619,359,2,0,72,31,50,16,92,53,56,26,39
2024-07-02,799,181,252,292,2,0,76,87,64,45,74,45,92,50,28
2024-07-03,882,455,958,754,1,0,47,79,8,84,5,67,5,19,5
2024-07-03,289,357,273,715,1,1,25,10,81,52,2,3,56,12,51
2024-07-03,786,817,442,505,0,1,76,95,44,63,13,93,3,62,0
2024-07-03,662,688,769,825,1,0,38,5,46,44,65,65,10,43,51
2024-07-03,975,623,530,853,1,0,91,34,66,48,95,92,73,23,23
2024-07-03,666,394,826,820,2,0,57,32,23,18,94,42,91,2,33
2024-07-03,343,323,788,192,1,1,18,17,91,70,74,61,10,9,6
2024-07-03,931,624,786,529,0,0,87,36,9,80,85,99,98,64,74
2024-07-03,604,145,951,753,1,0,82,12,72,64,66,84,78,48,10
2024-07-03,230,766,949,533,0,1,76,73,76,36,30,84,7,57,35
2024-07-03,584,212,757,503,2,1,76,89,47,69,32,84,83,76,19
2024-07-03,918,332,423,533,0,0,57,80,34,25,87,3,58,77,62
2024-07-03,746,116,772,211,1,0,27,63,53,1,0,64,20,96,79
2024-07-03,120,459,738,474,2,1,65,0,86,58,43,61,64,1,62
2024-07-03,940,322,519,158,1,0,9,62,80,95,14,89,92,65,68
2024-07-03,266,965,693,142,2,0,85,88,70,4,36,1,23,30,87
2024-07-03,373,799,584,306,2,1,76,33,15,36,26,8,29,67,29
2024-07-03,487,547,758,879,1,1,57,9,52,30,47,56,98,97,29
2024-07-03,700,955,850,395,1,1,72,83,39,75,26,44,96,82,96
2024-07-03,415,464,511,217,2,0,96,6,99,98,11,17,83,36,83
2024-07-03,113,774,183,631,2,1,13,55,19,93,66,47,56,72,21
2024-07-03,341,425,212,321,1,1,83,79,87,47,29,41,79,23,60
2024-07-04,876,566,836,265,0,0,14,36,68,5,95,40,72,76,20
2024-07-04,445,513,431,742,1,0,95,28,44,14,86,74,94,43,36
2024-07-04,664,554,477,255,2,1,32,11,5,14,65,88,16,93,26
2024-07-04,997,685,854,283,1,1,16,16,91,60,6,89,58,82,34
2024-07-04,439,332,754,189,0,0,23,47,68,15,33,57,30,40,37
2024-07-04,191,323,140,193,1,0,29,83,48,19,31,99,63,73,59
2024-07-04,466,930,869,112,2,1,61,25,38,76,38,41,47,50,69
2024-07-04,554,511,896,933,1,1,12,82,1,43,95,34,22,41,31
2024-07-04,527,671,204,904,2,0,61,11,38,41,42,37,69,77,79
2024-07-04,608,434,301,841,2,1,46,20,20,45,42,66,29,39,91
2024-07-04,875,321,549,933,1,0,15,41,39,94,77,40,54,47,79
2024-07-04,134,136,918,903,2,1,65,60,81,33,2,98,6,83,26
2024-07-04,305,377,942,537,2,0,80,57,53,63,45,49,74,3,2
2024-07-04,180,295,365,637,0,0,95,53,11,28,31,85,97,59,48
2024-07-04,661,963,309,686,0,1,42,33,80,2,42,71,11,38,84
2024-07-04,971,583,662,975,0,1,7,6,36,8,99,78,59,4,29
2024-07-04,487,341,217,910,0,0,2,34,37,74,80,44,51,95,21
2024-07-04,101,423,812,249,2,1,11,14,14,74,2,70,26,5,18
2024-07-04,489,830,476,759,1,1,83,64,6,24,73,18,11,13,30
