date,lux1,lux2,lux3,lux4,weather_condition,season,lux_diff_1_2,lux_ratio_1_3,lux1_moving_avg,lux1_weather_interaction,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-01,202,139,462,954,1,1,63,0.43722943722943725,565.6666666666666,202,7,67,35,4,6,2,87,44,81
2024-07-01,535,965,921,750,2,0,-430,0.5808903365906624,565.6666666666666,1070,94,27,7,97,5,22,23,79,81
2024-07-01,960,139,481,721,1,1,821,1.995841995841996,565.6666666666666,960,2,17,39,22,55,74,84,67,86
2024-07-01,370,958,332,794,2,1,-588,1.1144578313253013,621.6666666666666,740,66,25,85,42,63,73,94,11,39
2024-07-01,206,848,876,639,1,0,-642,0.23515981735159816,512.0,206,85,18,21,88,49,49,57,48,49
2024-07-01,171,388,443,808,2,0,-217,0.3860045146726862,249.0,342,80,54,15,56,29,35,63,32,72
2024-07-01,800,361,648,290,1,0,439,1.2345679012345678,392.3333333333333,800,99,56,90,50,21,12,93,85,28
2024-07-01,120,315,916,414,2,0,-195,0.13100436681222707,363.6666666666667,240,16,5,59,12,24,28,55,62,50
2024-07-01,714,246,652,662,1,1,468,1.0950920245398772,544.6666666666666,714,13,0,59,23,27,37,97,17,41
2024-07-01,221,435,628,760,0,0,-214,0.3519108280254777,351.6666666666667,0,8,7,9,10,83,76,81,53,28
2024-07-01,566,267,955,879,2,0,299,0.5926701570680628,500.3333333333333,1132,61,96,24,51,38,89,11,96,65
2024-07-01,314,191,888,661,1,0,123,0.3536036036036036,367.0,314,93,50,30,16,66,83,34,26,16
2024-07-01,430,452,918,999,2,0,-22,0.4684095860566449,436.6666666666667,860,20,84,20,36,4,4,70,82,30
2024-07-01,558,670,670,857,2,0,-112,0.8328358208955224,434.0,1116,75,87,90,12,64,19,88,77,91
2024-07-01,187,670,282,212,1,1,-483,0.6631205673758865,391.6666666666667,187,36,24,80,61,14,77,5,24,51
2024-07-01,472,915,140,269,2,1,-443,3.3714285714285714,405.6666666666667,944,95,46,32,90,89,13,64,33,38
2024-07-01,199,780,650,567,1,0,-581,0.30615384615384617,286.0,199,10,54,30,83,66,7,79,87,59
2024-07-01,971,880,496,777,0,0,91,1.9576612903225807,547.3333333333334,0,19,63,89,96,39,47,59,59,93
2024-07-01,763,462,803,113,2,1,301,0.950186799501868,644.3333333333334,1526,34,82,20,95,97,12,67,53,98
2024-07-01,230,656,878,814,0,0,-426,0.2619589977220957,654.6666666666666,0,52,92,35,7,68,23,28,86,50
2024-07-01,761,444,593,387,2,1,317,1.2833052276559864,584.6666666666666,1522,46,9,64,55,94,78,37,4,83
2024-07-01,408,792,758,288,2,1,-384,0.5382585751978892,466.3333333333333,816,74,55,3,92,76,64,91,35,15
2024-07-02,869,269,432,254,2,0,600,2.011574074074074,679.3333333333334,1738,51,11,67,82,42,85,21,53,97
2024-07-02,443,455,226,666,1,1,-12,1.9601769911504425,573.3333333333334,443,7,32,89,69,0,33,7,87,13
2024-07-02,591,290,657,793,0,0,301,0.8995433789954338,634.3333333333334,0,3,70,3,43,21,50,62,35,89
2024-07-02,513,766,656,821,2,0,-253,0.7820121951219512,515.6666666666666,1026,26,16,8,59,61,2,95,68,83
2024-07-02,905,521,100,987,1,1,384,9.05,669.6666666666666,905,43,60,29,40,78,89,96,38,41
2024-07-02,485,799,267,570,2,1,-314,1.8164794007490637,634.3333333333334,970,39,9,44,20,25,77,12,69,50
2024-07-02,291,106,719,174,1,0,185,0.4047287899860918,560.3333333333334,291,46,30,3,85,17,57,26,99,23
2024-07-02,376,232,118,376,2,1,144,3.1864406779661016,384.0,752,93,59,68,41,47,71,17,3,81
2024-07-02,260,846,431,744,0,0,-586,0.6032482598607889,309.0,0,43,69,22,73,8,54,17,73,42
2024-07-02,559,656,683,442,0,1,-97,0.8184480234260615,398.3333333333333,0,47,16,15,73,0,79,76,64,72
2024-07-02,413,925,555,524,2,1,-512,0.7441441441441441,410.6666666666667,826,90,49,21,28,8,41,85,84,18
2024-07-02,121,860,208,670,1,0,-739,0.5817307692307693,364.3333333333333,121,84,36,71,79,22,20,61,39,83
2024-07-02,352,130,367,610,2,0,222,0.9591280653950953,295.3333333333333,704,51,81,47,64,44,9,13,36,60
2024-07-02,847,634,544,956,1,0,213,1.556985294117647,440.0,847,83,61,61,16,1,56,10,66,93
2024-07-02,956,525,339,281,2,1,431,2.8200589970501473,718.3333333333334,1912,67,89,96,29,13,24,85,30,62
2024-07-02,660,493,400,557,1,0,167,1.65,821.0,660,10,79,59,25,37,55,99,90,25
2024-07-02,574,771,701,950,0,0,-197,0.818830242510699,730.0,0,76,71,79,52,39,37,16,80,94
2024-07-02,158,462,202,932,2,1,-304,0.7821782178217822,464.0,316,72,87,4,18,62,85,50,86,34
2024-07-02,610,536,349,163,0,1,74,1.7478510028653296,447.3333333333333,0,3,76,79,52,81,60,95,76,66
2024-07-02,781,769,552,938,0,0,12,1.414855072463768,516.3333333333334,0,75,28,6,84,15,46,13,46,55
2024-07-02,575,650,619,359,2,0,-75,0.9289176090468497,655.3333333333334,1150,72,31,50,16,92,53,56,26,39
2024-07-02,799,181,252,292,2,0,618,3.1706349206349205,718.3333333333334,1598,76,87,64,45,74,45,92,50,28
2024-07-03,882,455,958,754,1,0,427,0.9206680584551148,752.0,882,47,79,8,84,5,67,5,19,5
2024-07-03,289,357,273,715,1,1,-68,1.0586080586080586,656.6666666666666,289,25,10,81,52,2,3,56,12,51
2024-07-03,786,817,442,505,0,1,-31,1.7782805429864252,652.3333333333334,0,76,95,44,63,13,93,3,62,0
2024-07-03,662,688,769,825,1,0,-26,0.8608582574772432,579.0,662,38,5,46,44,65,65,10,43,51
2024-07-03,975,623,530,853,1,0,352,1.8396226415094339,807.6666666666666,975,91,34,66,48,95,92,73,23,23
2024-07-03,666,394,826,820,2,0,272,0.8062953995157385,767.6666666666666,1332,57,32,23,18,94,42,91,2,33
2024-07-03,343,323,788,192,1,1,20,0.4352791878172589,661.3333333333334,343,18,17,91,70,74,61,10,9,6
2024-07-03,931,624,786,529,0,0,307,1.1844783715012723,646.6666666666666,0,87,36,9,80,85,99,98,64,74
2024-07-03,604,145,951,753,1,0,459,0.6351209253417456,626.0,604,82,12,72,64,66,84,78,48,10
2024-07-03,230,766,949,533,0,1,-536,0.24236037934668073,588.3333333333334,0,76,73,76,36,30,84,7,57,35
2024-07-03,584,212,757,503,2,1,372,0.7714663143989432,472.6666666666667,1168,76,89,47,69,32,84,83,76,19
2024-07-03,918,332,423,533,0,0,586,2.1702127659574466,577.3333333333334,0,57,80,34,25,87,3,58,77,62
2024-07-03,746,116,772,211,1,0,630,0.966321243523316,749.3333333333334,746,27,63,53,1,0,64,20,96,79
2024-07-03,120,459,738,474,2,1,-339,0.16260162601626016,594.6666666666666,240,65,0,86,58,43,61,64,1,62
2024-07-03,940,322,519,158,1,0,618,1.811175337186898,602.0,940,9,62,80,95,14,89,92,65,68
2024-07-03,266,965,693,142,2,0,-699,0.3838383838383838,442.0,532,85,88,70,4,36,1,23,30,87
2024-07-03,373,799,584,306,2,1,-426,0.6386986301369864,526.3333333333334,746,76,33,15,36,26,8,29,67,29
2024-07-03,487,547,758,879,1,1,-60,0.6424802110817942,375.3333333333333,487,57,9,52,30,47,56,98,97,29
2024-07-03,700,955,850,395,1,1,-255,0.8235294117647058,520.0,700,72,83,39,75,26,44,96,82,96
2024-07-03,415,464,511,217,2,0,-49,0.812133072407045,534.0,830,96,6,99,98,11,17,83,36,83
2024-07-03,113,774,183,631,2,1,-661,0.6174863387978142,409.3333333333333,226,13,55,19,93,66,47,56,72,21
2024-07-03,341,425,212,321,1,1,-84,1.6084905660377358,289.6666666666667,341,83,79,87,47,29,41,79,23,60
2024-07-04,876,566,836,265,0,0,310,1.0478468899521531,443.3333333333333,0,14,36,68,5,95,40,72,76,20
2024-07-04,445,513,431,742,1,0,-68,1.0324825986078887,554.0,445,95,28,44,14,86,74,94,43,36
2024-07-04,664,554,477,255,2,1,110,1.3920335429769393,661.6666666666666,1328,32,11,5,14,65,88,16,93,26
2024-07-04,997,685,854,283,1,1,312,1.1674473067915692,702.0,997,16,16,91,60,6,89,58,82,34
2024-07-04,439,332,754,189,0,0,107,0.5822281167108754,700.0,0,23,47,68,15,33,57,30,40,37
2024-07-04,191,323,140,193,1,0,-132,1.3642857142857143,542.3333333333334,191,29,83,48,19,31,99,63,73,59
2024-07-04,466,930,869,112,2,1,-464,0.5362485615650172,365.3333333333333,932,61,25,38,76,38,41,47,50,69
2024-07-04,554,511,896,933,1,1,43,0.6183035714285714,403.6666666666667,554,12,82,1,43,95,34,22,41,31
2024-07-04,527,671,204,904,2,0,-144,2.5833333333333335,515.6666666666666,1054,61,11,38,41,42,37,69,77,79
2024-07-04,608,434,301,841,2,1,174,2.0199335548172757,563.0,1216,46,20,20,45,42,66,29,39,91
2024-07-04,875,321,549,933,1,0,554,1.5938069216757742,670.0,875,15,41,39,94,77,40,54,47,79
2024-07-04,134,136,918,903,2,1,-2,0.14596949891067537,539.0,268,65,60,81,33,2,98,6,83,26
2024-07-04,305,377,942,537,2,0,-72,0.3237791932059448,438.0,610,80,57,53,63,45,49,74,3,2
2024-07-04,180,295,365,637,0,0,-115,0.4931506849315068,206.33333333333334,0,95,53,11,28,31,85,97,59,48
2024-07-04,661,963,309,686,0,1,-302,2.1391585760517797,382.0,0,42,33,80,2,42,71,11,38,84
2024-07-04,971,583,662,975,0,1,388,1.4667673716012084,604.0,0,7,6,36,8,99,78,59,4,29
2024-07-04,487,341,217,910,0,0,146,2.2442396313364057,706.3333333333334,0,2,34,37,74,80,44,51,95,21
2024-07-04,101,423,812,249,2,1,-322,0.12438423645320197,519.6666666666666,202,11,14,14,74,2,70,26,5,18
2024-07-04,489,830,476,759,1,1,-341,1.0273109243697478,359.0,489,83,64,6,24,73,18,11,13,30
2024-07-04,665,291,650,107,2,1,374,1.023076923076923,418.3333333333333,1330,15,89,77,85,62,16,12,69,19
2024-07-04,205,116,639,128,2,0,89,0.3208137715179969,453.0,410,77,98,49,41,39,64,71,77,18
2024-07-04,871,623,870,395,2,1,248,1.0011494252873563,580.3333333333334,1742,79,24,64,45,17,92,79,11,1
2024-07-05,921,500,183,820,1,1,421,5.032786885245901,665.6666666666666,921,58,58,66,72,66,76,61,61,39
2024-07-05,576,985,553,739,0,0,-409,1.0415913200723328,789.3333333333334,0,48,78,43,83,61,55,28,26,38
2024-07-05,802,804,766,439,2,1,-2,1.0469973890339426,766.3333333333334,1604,62,85,30,58,9,92,34,53,90
2024-07-05,501,121,728,727,2,1,380,0.6881868131868132,626.3333333333334,1002,61,5,42,20,51,40,59,89,71
2024-07-05,829,573,613,538,0,0,256,1.3523654159869494,710.6666666666666,0,48,51,76,73,72,41,28,11,53
2024-07-05,655,219,704,243,2,0,436,0.9303977272727273,661.6666666666666,1310,50,78,47,21,45,5,30,7,26
2024-07-05,261,309,777,929,1,1,-48,0.3359073359073359,581.6666666666666,261,32,87,81,28,54,68,76,73,78
2024-07-05,301,405,486,846,2,1,-104,0.6193415637860082,405.6666666666667,602,29,20,80,62,45,97,75,15,11
2024-07-05,369,369,449,618,2,0,0,0.821826280623608,310.3333333333333,738,58,70,80,72,74,74,60,51,77
2024-07-05,962,803,395,144,0,0,159,2.4354430379746836,544.0,0,75,92,60,60,59,72,1,25,70
2024-07-05,915,786,357,338,2,1,129,2.563025210084034,748.6666666666666,1830,14,95,74,63,96,39,32,7,16
2024-07-05,370,384,180,254,2,1,-14,2.0555555555555554,749.0,740,81,31,83,68,99,40,71,44,89
