date,lux1,lux2,lux3,lux4,weather_condition,season,lux_diff_1_2,lux_ratio_1_3,lux1_moving_avg,lux2_moving_avg,lux3_moving_avg,lux4_moving_avg,lux1_weather_interaction,lux2_weather_interaction,lux3_weather_interaction,lux4_weather_interaction,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-01,202,139,462,954,1,1,63,0.43722943722943725,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,202,139,462,954,7,67,35,4,6,2,87,44,81
2024-07-01,535,965,921,750,2,0,-430,0.5808903365906624,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,1070,1930,1842,1500,94,27,7,97,5,22,23,79,81
2024-07-01,960,139,481,721,1,1,821,1.995841995841996,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,960,139,481,721,2,17,39,22,55,74,84,67,86
2024-07-01,370,958,332,794,2,1,-588,1.1144578313253013,621.6666666666666,687.3333333333334,578.0,755.0,740,1916,664,1588,66,25,85,42,63,73,94,11,39
2024-07-01,206,848,876,639,1,0,-642,0.23515981735159816,512.0,648.3333333333334,563.0,718.0,206,848,876,639,85,18,21,88,49,49,57,48,49
2024-07-01,171,388,443,808,2,0,-217,0.3860045146726862,249.0,731.3333333333334,550.3333333333334,747.0,342,776,886,1616,80,54,15,56,29,35,63,32,72
2024-07-01,800,361,648,290,1,0,439,1.2345679012345678,392.3333333333333,532.3333333333334,655.6666666666666,579.0,800,361,648,290,99,56,90,50,21,12,93,85,28
2024-07-01,120,315,916,414,2,0,-195,0.13100436681222707,363.6666666666667,354.6666666666667,669.0,504.0,240,630,1832,828,16,5,59,12,24,28,55,62,50
2024-07-01,714,246,652,662,1,1,468,1.0950920245398772,544.6666666666666,307.3333333333333,738.6666666666666,455.3333333333333,714,246,652,662,13,0,59,23,27,37,97,17,41
2024-07-01,221,435,628,760,0,0,-214,0.3519108280254777,351.6666666666667,332.0,732.0,612.0,0,0,0,0,8,7,9,10,83,76,81,53,28
2024-07-01,566,267,955,879,2,0,299,0.5926701570680628,500.3333333333333,316.0,745.0,767.0,1132,534,1910,1758,61,96,24,51,38,89,11,96,65
2024-07-01,314,191,888,661,1,0,123,0.3536036036036036,367.0,297.6666666666667,823.6666666666666,766.6666666666666,314,191,888,661,93,50,30,16,66,83,34,26,16
2024-07-01,430,452,918,999,2,0,-22,0.4684095860566449,436.6666666666667,303.3333333333333,920.3333333333334,846.3333333333334,860,904,1836,1998,20,84,20,36,4,4,70,82,30
2024-07-01,558,670,670,857,2,0,-112,0.8328358208955224,434.0,437.6666666666667,825.3333333333334,839.0,1116,1340,1340,1714,75,87,90,12,64,19,88,77,91
2024-07-01,187,670,282,212,1,1,-483,0.6631205673758865,391.6666666666667,597.3333333333334,623.3333333333334,689.3333333333334,187,670,282,212,36,24,80,61,14,77,5,24,51
2024-07-01,472,915,140,269,2,1,-443,3.3714285714285714,405.6666666666667,751.6666666666666,364.0,446.0,944,1830,280,538,95,46,32,90,89,13,64,33,38
2024-07-01,199,780,650,567,1,0,-581,0.30615384615384617,286.0,788.3333333333334,357.3333333333333,349.3333333333333,199,780,650,567,10,54,30,83,66,7,79,87,59
2024-07-01,971,880,496,777,0,0,91,1.9576612903225807,547.3333333333334,858.3333333333334,428.6666666666667,537.6666666666666,0,0,0,0,19,63,89,96,39,47,59,59,93
2024-07-01,763,462,803,113,2,1,301,0.950186799501868,644.3333333333334,707.3333333333334,649.6666666666666,485.6666666666667,1526,924,1606,226,34,82,20,95,97,12,67,53,98
2024-07-01,230,656,878,814,0,0,-426,0.2619589977220957,654.6666666666666,666.0,725.6666666666666,568.0,0,0,0,0,52,92,35,7,68,23,28,86,50
2024-07-01,761,444,593,387,2,1,317,1.2833052276559864,584.6666666666666,520.6666666666666,758.0,438.0,1522,888,1186,774,46,9,64,55,94,78,37,4,83
2024-07-01,408,792,758,288,2,1,-384,0.5382585751978892,466.3333333333333,630.6666666666666,743.0,496.3333333333333,816,1584,1516,576,74,55,3,92,76,64,91,35,15
2024-07-02,869,269,432,254,2,0,600,2.011574074074074,679.3333333333334,501.6666666666667,594.3333333333334,309.6666666666667,1738,538,864,508,51,11,67,82,42,85,21,53,97
2024-07-02,443,455,226,666,1,1,-12,1.9601769911504425,573.3333333333334,505.3333333333333,472.0,402.6666666666667,443,455,226,666,7,32,89,69,0,33,7,87,13
